[30/06/2022 23:54:15] [INFO] received Windows console close event; shutting log-core down
[01/07/2022 00:28:24] [INFO] received Windows console close event; shutting log-core down
[01/07/2022 00:48:51] [INFO] received Windows console close event; shutting log-core down
[01/07/2022 00:59:11] [INFO] received Windows console close event; shutting log-core down
[01/07/2022 01:22:19] [INFO] received Windows console close event; shutting log-core down
[01/07/2022 02:23:01] [INFO] received Windows console close event; shutting log-core down
[01/07/2022 02:26:52] [INFO] received Windows console close event; shutting log-core down
[01/07/2022 13:55:00] [INFO] received Windows console close event; shutting log-core down
[01/07/2022 13:57:04] [INFO] received Windows console close event; shutting log-core down
[01/07/2022 13:58:49] [INFO] received Windows console close event; shutting log-core down
[01/07/2022 13:59:37] [INFO] received Windows console close event; shutting log-core down
[01/07/2022 16:05:09] [INFO] received Windows console close event; shutting log-core down
[01/07/2022 16:47:08] [INFO] received Windows console close event; shutting log-core down
[01/07/2022 16:49:40] [INFO] received Windows console close event; shutting log-core down
[01/07/2022 16:58:35] [INFO] received Windows console close event; shutting log-core down
[01/07/2022 17:22:50] [INFO] received Windows console close event; shutting log-core down
[01/07/2022 17:25:57] [INFO] received Windows console close event; shutting log-core down
[01/07/2022 17:28:29] [INFO] received Windows console close event; shutting log-core down
[01/07/2022 17:33:16] [INFO] received Windows console close event; shutting log-core down
[01/07/2022 17:34:25] [INFO] received Windows console close event; shutting log-core down
[01/07/2022 17:42:57] [INFO] received Windows console close event; shutting log-core down
[01/07/2022 18:04:59] [INFO] received Windows console close event; shutting log-core down
[01/07/2022 18:09:13] [INFO] received Windows console close event; shutting log-core down
[01/07/2022 18:11:21] [INFO] received Windows console close event; shutting log-core down
[01/07/2022 18:16:21] [INFO] received Windows console close event; shutting log-core down
[01/07/2022 19:42:48] [INFO] received Windows console close event; shutting log-core down
[01/07/2022 20:18:11] [INFO] received Windows console close event; shutting log-core down
[01/07/2022 20:22:31] [INFO] received Windows console close event; shutting log-core down
[01/07/2022 20:23:41] [INFO] received Windows console close event; shutting log-core down
[01/07/2022 20:26:28] [INFO] received Windows console close event; shutting log-core down
[01/07/2022 20:29:54] [INFO] received Windows console close event; shutting log-core down
[01/07/2022 20:35:51] [INFO] received Windows console close event; shutting log-core down
[01/07/2022 20:48:53] [INFO] received Windows console close event; shutting log-core down
[01/07/2022 20:49:21] [INFO] received Windows console close event; shutting log-core down
[01/07/2022 20:52:37] [INFO] received Windows console close event; shutting log-core down
[01/07/2022 21:01:32] [INFO] received Windows console close event; shutting log-core down
[02/07/2022 13:29:02] [INFO] received Windows console close event; shutting log-core down
[02/07/2022 13:32:16] [INFO] received Windows console close event; shutting log-core down
[02/07/2022 13:32:33] [INFO] received Windows console close event; shutting log-core down
[02/07/2022 13:35:43] [INFO] received Windows console close event; shutting log-core down
[02/07/2022 13:40:28] [INFO] received Windows console close event; shutting log-core down
[02/07/2022 13:42:38] [INFO] received Windows console close event; shutting log-core down
[02/07/2022 15:35:30] [INFO] received Windows console close event; shutting log-core down
[02/07/2022 15:36:51] [INFO] received Windows console close event; shutting log-core down
[02/07/2022 15:41:57] [INFO] received Windows console close event; shutting log-core down
[02/07/2022 19:21:51] [INFO] received Windows console close event; shutting log-core down
[02/07/2022 22:08:44] [INFO] received Windows console close event; shutting log-core down
[02/07/2022 22:16:17] [INFO] received Windows console close event; shutting log-core down
[03/07/2022 00:28:07] [INFO] received Windows console close event; shutting log-core down
[03/07/2022 00:34:11] [INFO] received Windows console close event; shutting log-core down
[03/07/2022 01:23:56] [INFO] received Windows console close event; shutting log-core down
[03/07/2022 12:28:18] [INFO] received Windows console close event; shutting log-core down
[03/07/2022 12:42:00] [INFO] received Windows console close event; shutting log-core down
[03/07/2022 17:18:21] [INFO] received Windows console close event; shutting log-core down
[03/07/2022 17:19:51] [INFO] received Windows console close event; shutting log-core down
[03/07/2022 17:21:14] [INFO] received Windows console close event; shutting log-core down
[03/07/2022 17:25:13] [INFO] received Windows console close event; shutting log-core down
[03/07/2022 17:36:20] [INFO] received Windows console close event; shutting log-core down
[03/07/2022 17:38:22] [INFO] received Windows console close event; shutting log-core down
[03/07/2022 17:40:00] [INFO] received Windows console close event; shutting log-core down
[04/07/2022 01:56:43] [INFO] received Windows console close event; shutting log-core down
[04/07/2022 01:59:08] [INFO] received Windows console close event; shutting log-core down
[04/07/2022 02:19:45] [INFO] received Windows console close event; shutting log-core down
[04/07/2022 02:21:38] [INFO] received Windows console close event; shutting log-core down
[04/07/2022 02:26:30] [INFO] received Windows console close event; shutting log-core down
